rank,country_full,confederation,market_value,squad_size,average_age,source,elo,updated
1,Spain,UEFA,,27.0,27.4,kaggle_fifa,2257.2,2026-04-09T01:21:18.403604
2,Argentina,CONMEBOL,712200012.0,28.0,28.4,kaggle_fifa,2207.9,2026-04-09T01:21:18.403604
3,France,UEFA,,26.0,26.7,kaggle_fifa,2166.7,2026-04-09T01:21:18.403604
4,England,UEFA,,25.0,26.9,kaggle_fifa,2114.1,2026-04-09T01:21:18.403604
5,Brazil,CONMEBOL,924000000.0,26.0,27.9,kaggle_fifa,2091.0,2026-04-09T01:21:18.403604
6,Portugal,UEFA,838500000.0,23.0,27.3,kaggle_fifa,2061.6,2026-04-09T01:21:18.403604
7,Netherlands,UEFA,797000000.0,22.0,26.8,kaggle_fifa,2042.1,2026-04-09T01:21:18.403604
8,Morocco,CAF,431750000.0,28.0,25.3,kaggle_fifa,1998.5,2026-04-09T01:21:18.403604
9,Belgium,UEFA,450200012.0,24.0,27.3,kaggle_fifa,1960.1,2026-04-09T01:21:18.403604
10,Germany,UEFA,849500000.0,26.0,27.4,kaggle_fifa,2024.3,2026-04-09T01:21:18.403604
11,Croatia,UEFA,255300003.0,26.0,28.2,kaggle_fifa,2001.5,2026-04-09T01:21:18.403604
12,Senegal,CAF,476700012.0,31.0,26.9,kaggle_fifa,1945.4,2026-04-09T01:21:18.403604
13,Italy,UEFA,825000000.0,26.0,27.4,kaggle_fifa,1927.3,2026-04-09T01:21:18.403604
14,Colombia,CONMEBOL,301000000.0,26.0,29.6,kaggle_fifa,2083.0,2026-04-09T01:21:18.403604
15,United States,CONCACAF,358700012.0,27.0,26.3,kaggle_fifa,1852.0,2026-04-09T01:21:18.403604
16,Mexico,CONCACAF,101800003.0,21.0,26.1,kaggle_fifa,1988.5,2026-04-09T01:21:18.403604
17,Uruguay,CONMEBOL,407329987.0,36.0,26.2,kaggle_fifa,1994.6,2026-04-09T01:21:18.403604
18,Switzerland,UEFA,308100006.0,26.0,27.9,kaggle_fifa,1966.3,2026-04-09T01:21:18.403604
19,Japan,AFC,265500000.0,28.0,26.4,kaggle_fifa,2009.6,2026-04-09T01:21:18.403604
20,Iran,AFC,34049999.0,28.0,29.4,kaggle_fifa,1902.6,2026-04-09T01:21:18.403604
21,Denmark,UEFA,352000000.0,25.0,26.3,kaggle_fifa,1938.4,2026-04-09T01:21:18.403604
22,South Korea,AFC,125099998.0,26.0,27.7,kaggle_fifa,1878.2,2026-04-09T01:21:18.403604
23,Ecuador,CONMEBOL,366079987.0,28.0,25.4,kaggle_fifa,2044.3,2026-04-09T01:21:18.403604
24,Austria,UEFA,254600006.0,28.0,28.2,kaggle_fifa,1909.9,2026-04-09T01:21:18.403604
25,Türkiye,UEFA,512700012.0,33.0,27.1,kaggle_fifa,,2026-04-09T01:21:18.403604
26,Nigeria,CAF,229580002.0,23.0,27.6,kaggle_fifa,1878.1,2026-04-09T01:21:18.403604
27,Australia,AFC,46029999.0,25.0,27.1,kaggle_fifa,1916.1,2026-04-09T01:21:18.403604
28,Algeria,CAF,236550003.0,27.0,25.8,kaggle_fifa,1878.4,2026-04-09T01:21:18.403604
29,Canada,CONCACAF,121080002.0,26.0,26.4,kaggle_fifa,1926.3,2026-04-09T01:21:18.403604
30,Ukraine,UEFA,261399994.0,26.0,26.5,kaggle_fifa,1850.1,2026-04-09T01:21:18.403604
31,Egypt,CAF,134250000.0,28.0,29.1,kaggle_fifa,1832.1,2026-04-09T01:21:18.403604
32,Norway,UEFA,522900024.0,28.0,26.2,kaggle_fifa,1982.3,2026-04-09T01:21:18.403604
33,Panama,CONCACAF,31200001.0,23.0,29.5,kaggle_fifa,1880.6,2026-04-09T01:21:18.403604
34,Poland,UEFA,163350006.0,25.0,27.9,kaggle_fifa,1798.3,2026-04-09T01:21:18.403604
35,Wales,UEFA,211149994.0,26.0,26.8,kaggle_fifa,1779.9,2026-04-09T01:21:18.403604
36,Russia,UEFA,270750000.0,40.0,26.0,kaggle_fifa,1860.1,2026-04-09T01:21:18.403604
38,Scotland,UEFA,211000000.0,26.0,28.8,kaggle_fifa,1835.7,2026-04-09T01:21:18.403604
39,Serbia,UEFA,276299988.0,28.0,26.8,kaggle_fifa,1830.9,2026-04-09T01:21:18.403604
40,Paraguay,CONMEBOL,124800003.0,31.0,28.5,kaggle_fifa,1932.8,2026-04-09T01:21:18.403604
41,Hungary,UEFA,204000000.0,24.0,26.6,kaggle_fifa,1774.6,2026-04-09T01:21:18.403604
42,Sweden,UEFA,377779999.0,26.0,26.3,kaggle_fifa,1785.2,2026-04-09T01:21:18.403604
43,Czech Republic,UEFA,171500000.0,25.0,28.0,kaggle_fifa,1789.2,2026-04-09T01:21:18.403604
44,Slovakia,UEFA,133850006.0,28.0,28.7,kaggle_fifa,1746.7,2026-04-09T01:21:18.403604
46,Greece,UEFA,282899994.0,25.0,26.2,kaggle_fifa,1822.6,2026-04-09T01:21:18.403604
47,Tunisia,CAF,69650002.0,30.0,25.3,kaggle_fifa,1747.6,2026-04-09T01:21:18.403604
49,Romania,UEFA,120099998.0,28.0,27.5,kaggle_fifa,1699.1,2026-04-09T01:21:18.403604
50,Venezuela,CONMEBOL,71750000.0,36.0,25.2,kaggle_fifa,1828.6,2026-04-09T01:21:18.403604
51,Costa Rica,CONCACAF,40130001.0,26.0,27.9,kaggle_fifa,1770.8,2026-04-09T01:21:18.403604
52,Uzbekistan,AFC,8500000.0,14.0,26.3,kaggle_fifa,1834.6,2026-04-09T01:21:18.403604
53,Peru,CONMEBOL,27650000.0,24.0,26.7,kaggle_fifa,1784.9,2026-04-09T01:21:18.403604
55,Chile,CONMEBOL,84099998.0,26.0,25.5,kaggle_fifa,1826.2,2026-04-09T01:21:18.403604
56,Qatar,AFC,18000000.0,23.0,28.0,kaggle_fifa,1593.6,2026-04-09T01:21:18.403604
57,Slovenia,UEFA,145800003.0,26.0,26.9,kaggle_fifa,1766.8,2026-04-09T01:21:18.403604
